model,buffer,under_over_ratio,mean_cost,under_rate,mean_under,mean_over
Random Forest,0.0,1,21.438399071925755,0.4322795823665893,10.110498839907192,11.327900232018562
Random Forest,0.0,3,41.65939675174014,0.4322795823665893,10.110498839907192,11.327900232018562
Random Forest,0.0,5,61.88039443155452,0.4322795823665893,10.110498839907192,11.327900232018562
Random Forest,0.0,10,112.43288863109049,0.4322795823665893,10.110498839907192,11.327900232018562
Random Forest,0.1,1,26.43233758700696,0.2370939675174014,4.674941995359629,21.75739559164733
Random Forest,0.1,3,35.78222157772622,0.2370939675174014,4.674941995359629,21.75739559164733
Random Forest,0.1,5,45.132105568445475,0.2370939675174014,4.674941995359629,21.75739559164733
Random Forest,0.1,10,68.50681554524363,0.2370939675174014,4.674941995359629,21.75739559164733
Random Forest,0.2,1,37.51859048723898,0.12465197215777263,2.283961716937355,35.234628770301626
Random Forest,0.2,3,42.08651392111369,0.12465197215777263,2.283961716937355,35.234628770301626
Random Forest,0.2,5,46.654437354988396,0.12465197215777263,2.283961716937355,35.234628770301626
Random Forest,0.2,10,58.07424593967517,0.12465197215777263,2.283961716937355,35.234628770301626
Random Forest,0.3,1,51.288660092807426,0.07372389791183295,1.2377610208816705,50.050899071925755
Random Forest,0.3,3,53.76418213457077,0.07372389791183295,1.2377610208816705,50.050899071925755
Random Forest,0.3,5,56.23970417633411,0.07372389791183295,1.2377610208816705,50.050899071925755
Random Forest,0.3,10,62.42850928074246,0.07372389791183295,1.2377610208816705,50.050899071925755
Ridge,0.0,1,25.85672853828306,0.4121519721577726,10.96203596287703,14.894692575406033
Ridge,0.0,3,47.78080046403712,0.4121519721577726,10.96203596287703,14.894692575406033
Ridge,0.0,5,69.70487238979118,0.4121519721577726,10.96203596287703,14.894692575406033
Ridge,0.0,10,124.51505220417633,0.4121519721577726,10.96203596287703,14.894692575406033
Ridge,0.1,1,31.31467517401392,0.24950696055684454,5.6220707656612525,25.69260440835267
Ridge,0.1,3,42.558816705336426,0.24950696055684454,5.6220707656612525,25.69260440835267
Ridge,0.1,5,53.80295823665893,0.24950696055684454,5.6220707656612525,25.69260440835267
Ridge,0.1,10,81.9133120649652,0.24950696055684454,5.6220707656612525,25.69260440835267
Ridge,0.2,1,42.16261600928074,0.1498259860788863,2.9764211136890952,39.18619489559165
Ridge,0.2,3,48.11545823665893,0.1498259860788863,2.9764211136890952,39.18619489559165
Ridge,0.2,5,54.06830046403712,0.1498259860788863,2.9764211136890952,39.18619489559165
Ridge,0.2,10,68.9504060324826,0.1498259860788863,2.9764211136890952,39.18619489559165
Ridge,0.3,1,55.72288283062645,0.09646171693735499,1.6886600928074247,54.03422273781903
Ridge,0.3,3,59.1002030162413,0.09646171693735499,1.6886600928074247,54.03422273781903
Ridge,0.3,5,62.47752320185615,0.09646171693735499,1.6886600928074247,54.03422273781903
Ridge,0.3,10,70.92082366589327,0.09646171693735499,1.6886600928074247,54.03422273781903
Seasonal Naive,0.0,1,39.300174013921115,0.46360208816705334,16.65066705336427,22.649506960556845
Seasonal Naive,0.0,3,72.60150812064965,0.46360208816705334,16.65066705336427,22.649506960556845
Seasonal Naive,0.0,5,105.90284222737819,0.46360208816705334,16.65066705336427,22.649506960556845
Seasonal Naive,0.0,10,189.15617749419954,0.46360208816705334,16.65066705336427,22.649506960556845
Seasonal Naive,0.1,1,44.916154292343386,0.31841647331786543,11.01719837587007,33.89895591647332
Seasonal Naive,0.1,3,66.95055104408353,0.31841647331786543,11.01719837587007,33.89895591647332
Seasonal Naive,0.1,5,88.98494779582367,0.31841647331786543,11.01719837587007,33.89895591647332
Seasonal Naive,0.1,10,144.070939675174,0.31841647331786543,11.01719837587007,33.89895591647332
Seasonal Naive,0.2,1,54.83506380510441,0.2245939675174014,7.825319025522042,47.00974477958237
Seasonal Naive,0.2,3,70.4857018561485,0.2245939675174014,7.825319025522042,47.00974477958237
Seasonal Naive,0.2,5,86.13633990719258,0.2245939675174014,7.825319025522042,47.00974477958237
Seasonal Naive,0.2,10,125.26293503480278,0.2245939675174014,7.825319025522042,47.00974477958237
Seasonal Naive,0.3,1,67.4292343387471,0.16241299303944315,5.9033932714617166,61.525841067285384
Seasonal Naive,0.3,3,79.23602088167053,0.16241299303944315,5.9033932714617166,61.525841067285384
Seasonal Naive,0.3,5,91.04280742459397,0.16241299303944315,5.9033932714617166,61.525841067285384
Seasonal Naive,0.3,10,120.55977378190255,0.16241299303944315,5.9033932711577727,61.525841067285384
XGBoost,0.0,1,20.66316705336427,0.43631090487238977,9.895446635730858,10.767720417633411
XGBoost,0.0,3,40.45406032482599,0.43631090487238977,9.895446635730858,10.767720417633411
XGBoost,0.0,5,60.2449535962877,0.43631090487238977,9.895446635730858,10.767720417633411
XGBoost,0.0,10,109.72218677494199,0.43631090487238977,9.895446635730858,10.767720417633411
XGBoost,0.1,1,25.592285382830628,0.23642691415313224,4.4464907192575405,21.145794663573085
XGBoost,0.1,3,34.48526682134571,0.23642691415313224,4.4464907192575405,21.145794663573085
XGBoost,0.1,5,43.37824825986079,0.23642691415313224,4.4464907192575405,21.145794663573085
XGBoost,0.1,10,65.6107018561485,0.23642691415313224,4.4464907192575405,21.145794663573085
XGBoost,0.2,1,36.70246519721578,0.12311484918793504,2.0867169373549883,34.61574825986079
XGBoost,0.2,3,40.87589907192575,0.12311484918793504,2.0867169373549883,34.61574825986079
XGBoost,0.2,5,45.04933294663573,0.12311484918793504,2.0867169373549883,34.61574825986079
XGBoost,0.2,10,55.48291763341067,0.12311484918793504,2.0867169373549883,34.61574825986079
XGBoost,0.3,1,50.53149651972158,0.06940255220417633,1.0845997679814385,49.44689675174014
XGBoost,0.3,3,52.70069605568445,0.06940255220417633,1.0845997679814385,49.44689675174014
XGBoost,0.3,5,54.869895591647335,0.06940255220417633,1.0845997679814385,49.44689675174014
XGBoost,0.3,10,60.29289443155452,0.06940255220417633,1.0845997679814385,49.44689675174014
